label,k,m,r,total_reward,empirical_stay,theory_stay,empirical_switch,theory_switch,empirical_stay_per_total,theory_stay_per_total,empirical_switch_per_total,theory_switch_per_total
"1,2,5,9",12.0,4.0,0.0,17.0,1.4191,1.4166666666666667,1.4057,1.4166666666666667,0.08347647058823529,0.08333333333333334,0.08268823529411765,0.08333333333333334
"1,2,5,9",12.0,4.0,1.0,17.0,1.4134,1.4166666666666667,1.52735,1.5583333333333333,0.08314117647058823,0.08333333333333334,0.08984411764705882,0.09166666666666667
"1,2,5,9",12.0,4.0,2.0,17.0,1.43045,1.4166666666666667,1.735125,1.7314814814814814,0.08414411764705883,0.08333333333333334,0.10206617647058824,0.10185185185185185
"1,2,5,9",12.0,4.0,3.0,17.0,1.433125,1.4166666666666667,1.942575,1.9479166666666667,0.0843014705882353,0.08333333333333334,0.11426911764705883,0.11458333333333334
"1,2,5,9",12.0,4.0,4.0,17.0,1.427775,1.4166666666666667,2.188975,2.2261904761904763,0.08398676470588236,0.08333333333333334,0.12876323529411765,0.13095238095238096
"1,2,5,9",12.0,4.0,5.0,17.0,1.399575,1.4166666666666667,2.610525,2.5972222222222223,0.08232794117647059,0.08333333333333334,0.15356029411764704,0.1527777777777778
"1,2,5,9",12.0,4.0,6.0,17.0,1.416275,1.4166666666666667,3.134725,3.1166666666666667,0.08331029411764705,0.08333333333333334,0.18439558823529412,0.18333333333333335
"1,2,5,9",12.0,4.0,7.0,17.0,1.4035,1.4166666666666667,3.92815,3.8958333333333335,0.08255882352941177,0.08333333333333334,0.23106764705882354,0.22916666666666669
"4,4,4,5",12.0,4.0,0.0,17.0,1.418625,1.4166666666666667,1.418825,1.4166666666666667,0.08344852941176471,0.08333333333333334,0.08346029411764706,0.08333333333333334
"4,4,4,5",12.0,4.0,1.0,17.0,1.41305,1.4166666666666667,1.56645,1.5583333333333333,0.08312058823529411,0.08333333333333334,0.09214411764705882,0.09166666666666667
"4,4,4,5",12.0,4.0,2.0,17.0,1.397475,1.4166666666666667,1.74235,1.7314814814814814,0.08220441176470589,0.08333333333333334,0.10249117647058824,0.10185185185185185
"4,4,4,5",12.0,4.0,3.0,17.0,1.41,1.4166666666666667,1.94705,1.9479166666666667,0.08294117647058823,0.08333333333333334,0.11453235294117647,0.11458333333333334
"4,4,4,5",12.0,4.0,4.0,17.0,1.403525,1.4166666666666667,2.233675,2.2261904761904763,0.08256029411764705,0.08333333333333334,0.13139264705882353,0.13095238095238096
"4,4,4,5",12.0,4.0,5.0,17.0,1.41415,1.4166666666666667,2.596075,2.5972222222222223,0.08318529411764707,0.08333333333333334,0.15271029411764706,0.1527777777777778
"4,4,4,5",12.0,4.0,6.0,17.0,1.413275,1.4166666666666667,3.125725,3.1166666666666667,0.08313382352941177,0.08333333333333334,0.18386617647058823,0.18333333333333335
"4,4,4,5",12.0,4.0,7.0,17.0,1.4168,1.4166666666666667,3.893225,3.8958333333333335,0.08334117647058824,0.08333333333333334,0.22901323529411766,0.22916666666666669
"8,4,3,2",12.0,4.0,0.0,17.0,1.40725,1.4166666666666667,1.4129,1.4166666666666667,0.08277941176470588,0.08333333333333334,0.08311176470588236,0.08333333333333334
"8,4,3,2",12.0,4.0,1.0,17.0,1.427025,1.4166666666666667,1.573575,1.5583333333333333,0.08394264705882352,0.08333333333333334,0.09256323529411764,0.09166666666666667
"8,4,3,2",12.0,4.0,2.0,17.0,1.41935,1.4166666666666667,1.734725,1.7314814814814814,0.08349117647058824,0.08333333333333334,0.10204264705882353,0.10185185185185185
"8,4,3,2",12.0,4.0,3.0,17.0,1.397375,1.4166666666666667,1.937225,1.9479166666666667,0.08219852941176471,0.08333333333333334,0.11395441176470589,0.11458333333333334
"8,4,3,2",12.0,4.0,4.0,17.0,1.42675,1.4166666666666667,2.23335,2.2261904761904763,0.0839264705882353,0.08333333333333334,0.13137352941176472,0.13095238095238096
"8,4,3,2",12.0,4.0,5.0,17.0,1.41435,1.4166666666666667,2.5851,2.5972222222222223,0.08319705882352942,0.08333333333333334,0.15206470588235296,0.1527777777777778
"8,4,3,2",12.0,4.0,6.0,17.0,1.41905,1.4166666666666667,3.11345,3.1166666666666667,0.0834735294117647,0.08333333333333334,0.18314411764705882,0.18333333333333335
"8,4,3,2",12.0,4.0,7.0,17.0,1.41705,1.4166666666666667,3.878775,3.8958333333333335,0.08335588235294117,0.08333333333333334,0.22816323529411764,0.22916666666666669
