k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,0.0,40000.0,random,uniform_zero,stay,0.9361875,0.9456975000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,uniform_zero,uniform_switch,0.9421,0.9456975000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,uniform_zero,prior_best_switch,2.67405,0.9456975000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,uniform_zero,oracle_best_switch,3.1344375,0.9456975000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,low_mu_zero,stay,0.9572625,0.948845,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,low_mu_zero,uniform_switch,0.946,0.948845,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,low_mu_zero,prior_best_switch,2.6627,0.948845,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,low_mu_zero,oracle_best_switch,3.1375125,0.948845,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,high_mu_zero,stay,0.9349,0.9301300000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,high_mu_zero,uniform_switch,0.940875,0.9301300000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,high_mu_zero,prior_best_switch,2.69645,0.9301300000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,random,high_mu_zero,oracle_best_switch,3.1438375,0.9301300000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,uniform_zero,stay,3.204,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,uniform_zero,uniform_switch,0.372425,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,uniform_zero,prior_best_switch,0.5917,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,1.3199875,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,low_mu_zero,stay,3.2115,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,low_mu_zero,uniform_switch,0.3808875,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,low_mu_zero,prior_best_switch,0.60715,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3358875,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,high_mu_zero,stay,3.1836,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,high_mu_zero,uniform_switch,0.3802375,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,high_mu_zero,prior_best_switch,0.5994,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3410875,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,uniform_zero,stay,0.099525,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,uniform_zero,uniform_switch,1.1369875,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,uniform_zero,prior_best_switch,3.2109,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,uniform_zero,oracle_best_switch,3.70135,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,low_mu_zero,stay,0.1015,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,low_mu_zero,uniform_switch,1.1599625,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,low_mu_zero,prior_best_switch,3.1877,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.6859,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,high_mu_zero,stay,0.099025,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,high_mu_zero,uniform_switch,1.1439625,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,high_mu_zero,prior_best_switch,3.2059,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,40000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.689625,0.09999999999999998,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,uniform_zero,stay,0.927325,0.93986,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,uniform_zero,uniform_switch,1.2372,0.93986,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,uniform_zero,prior_best_switch,2.74105,0.93986,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,uniform_zero,oracle_best_switch,3.1202,0.93986,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,low_mu_zero,stay,0.9471,0.9424675000000001,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,low_mu_zero,uniform_switch,1.2461125,0.9424675000000001,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,low_mu_zero,prior_best_switch,2.67215,0.9424675000000001,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,low_mu_zero,oracle_best_switch,3.11595,0.9424675000000001,0.99825,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,high_mu_zero,stay,0.94525,0.9423225000000001,0.998025,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,high_mu_zero,uniform_switch,1.2462375,0.9423225000000001,0.998025,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,high_mu_zero,prior_best_switch,2.83995,0.9423225000000001,0.998025,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,random,high_mu_zero,oracle_best_switch,3.1300625,0.9423225000000001,0.998025,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,uniform_zero,stay,3.1883,3.2,0.999875,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,uniform_zero,uniform_switch,0.5069125,3.2,0.999875,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,uniform_zero,prior_best_switch,0.7347,3.2,0.999875,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,1.32765,3.2,0.999875,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,low_mu_zero,stay,3.1935,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,low_mu_zero,uniform_switch,0.5024375,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,low_mu_zero,prior_best_switch,0.6019,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3305,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,high_mu_zero,stay,3.2004,3.2,0.9997,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,high_mu_zero,uniform_switch,0.49585,3.2,0.9997,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,high_mu_zero,prior_best_switch,0.9629,3.2,0.9997,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3275625,3.2,0.9997,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,uniform_zero,stay,0.098125,0.09999999999999998,0.997525,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,uniform_zero,uniform_switch,1.515375,0.09999999999999998,0.997525,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,uniform_zero,prior_best_switch,3.24155,0.09999999999999998,0.997525,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6951625,0.09999999999999998,0.997525,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,low_mu_zero,stay,0.099375,0.09999999999999998,0.9977,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,low_mu_zero,uniform_switch,1.5424,0.09999999999999998,0.9977,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,low_mu_zero,prior_best_switch,3.20245,0.09999999999999998,0.9977,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.7030875,0.09999999999999998,0.9977,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,high_mu_zero,stay,0.09915,0.09999999999999998,0.99755,0.09999999999999998,3.2,0.9400000000000002
