k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,0.0,40000.0,random,uniform_zero,stay,1.89925,1.8979549999999998,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,uniform_zero,uniform_switch,1.887575,1.8979549999999998,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,uniform_zero,prior_best_switch,3.239425,1.8979549999999998,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,uniform_zero,oracle_best_switch,4.91885,1.8979549999999998,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,low_mu_zero,stay,1.898725,1.9057825000000002,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,low_mu_zero,uniform_switch,1.888825,1.9057825000000002,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,low_mu_zero,prior_best_switch,3.242525,1.9057825000000002,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,low_mu_zero,oracle_best_switch,4.92075,1.9057825000000002,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,high_mu_zero,stay,1.9047,1.9033974999999999,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,high_mu_zero,uniform_switch,1.90305,1.9033974999999999,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,high_mu_zero,prior_best_switch,3.242825,1.9033974999999999,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,random,high_mu_zero,oracle_best_switch,4.9222,1.9033974999999999,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,uniform_zero,stay,3.5956,3.6,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,uniform_zero,uniform_switch,1.476925,3.6,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,uniform_zero,prior_best_switch,1.793325,3.6,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,4.43815,3.6,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,low_mu_zero,stay,3.5967,3.6,0.0,0.9999999999999998,3.6,1.9
5.0,0.0,40000.0,highest_mu,low_mu_zero,uniform_switch,1.4787,3.6,0.0,0.9999999999999998,3.6,1.9
