k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,0.0,60000.0,random,uniform_zero,stay,0.9372416666666666,0.9456733333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,uniform_zero,uniform_switch,0.9337333333333333,0.9456733333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,uniform_zero,prior_best_switch,2.6777333333333333,0.9456733333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,uniform_zero,oracle_best_switch,3.137941666666667,0.9456733333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,low_mu_zero,stay,0.9531416666666667,0.9437750000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,low_mu_zero,uniform_switch,0.9424916666666666,0.9437750000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,low_mu_zero,prior_best_switch,2.6714,0.9437750000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,low_mu_zero,oracle_best_switch,3.141958333333333,0.9437750000000001,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,high_mu_zero,stay,0.9305916666666667,0.9310500000000002,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,high_mu_zero,uniform_switch,0.9404333333333333,0.9310500000000002,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,high_mu_zero,prior_best_switch,2.6939,0.9310500000000002,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,random,high_mu_zero,oracle_best_switch,3.147091666666667,0.9310500000000002,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,uniform_zero,stay,3.1998,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,uniform_zero,uniform_switch,0.37061666666666665,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,uniform_zero,prior_best_switch,0.5941666666666666,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,uniform_zero,oracle_best_switch,1.3141666666666667,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,low_mu_zero,stay,3.2046666666666668,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,low_mu_zero,uniform_switch,0.3816333333333333,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,low_mu_zero,prior_best_switch,0.6058333333333333,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3324916666666666,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,high_mu_zero,stay,3.182533333333333,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,high_mu_zero,uniform_switch,0.3753166666666667,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,high_mu_zero,prior_best_switch,0.5999666666666666,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,highest_mu,high_mu_zero,oracle_best_switch,1.32925,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,uniform_zero,stay,0.10028333333333334,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,uniform_zero,uniform_switch,1.1362666666666668,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,uniform_zero,prior_best_switch,3.2094666666666667,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,uniform_zero,oracle_best_switch,3.700975,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,low_mu_zero,stay,0.10253333333333334,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,low_mu_zero,uniform_switch,1.150675,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
5.0,0.0,60000.0,lowest_mu,low_mu_zero,prior_best_switch,3.1902,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
